Word count,Shares,Prediction
1742,25000,21125.6
962,42000,16681.4
761,21000,15536.2
753,77000,15490.6
1118,59400,17570.3
1581,35000,20208.3
256,29000,12658.9
1267,37000,18419.2
971,67300,16732.7
369,60100,13302.7
635,3200,14818.3
1631,37000,20493.2
571,55000,14453.7
1333,54800,18795.3
364,54600,13274.2
515,27000,14134.6
1135,20000,17667.1
666,2400,14994.9
787,3800,15684.4
421,26000,13599
1065,14000,17268.3
908,14000,16373.8
1260,3000,18379.3
950,5600,16613.1
1761,1500,21233.9
911,8400,16390.9
971,5300,16732.7
458,2500,13809.8
458,757,13809.8
782,6400,15655.9
2080,3600,23051.4
250,22,12624.7
1763,2300,21245.3
650,2800,14903.8
1184,1300,17946.3
957,2500,16653
627,4500,14772.7
895,422,16299.7
1097,1600,17450.6
1262,715,18390.7
1738,907,21102.8
1813,2800,21530.1
2400,1300,24874.7
662,3000,14972.1
800,2800,15758.4
367,3300,13291.3
507,2600,14089
992,2300,16852.4
499,1400,14043.4
619,1800,14727.2
1152,867,17764
2363,1500,24663.9
988,631,16829.6
759,1200,15524.8
1098,950,17456.3
2797,1200,27136.6
1120,196,17581.7
2488,1100,25376.1
2049,668,22874.8
2542,424,25683.7
1011,8,16960.6
2189,367,23672.5
1864,42406,21820.7
990,1733,16841
1741,35691,21119.9
1229,11061,18202.7
2975,51319,28150.8
1864,30756,21820.7
2460,58425,25216.5
2136,48060,23370.5
2833,0,27341.8
1995,4988,22567.1
2332,27984,24487.2
1998,45455,22584.2
3442,76585,30811.6
2696,24264,26561.2
1913,5261,22099.9
1858,25548,21786.5
2457,0,25199.4
2592,56376,25968.6
1718,13315,20988.9
1293,27476,18567.4
3023,55170,28424.3
3485,871,31056.6
2093,39767,23125.5
1490,16390,19689.8
1238,23832,18254
2583,12269,25917.3
1007,10574,16937.8
978,24206,16772.6
3019,13586,28401.5
2347,21123,24572.7
2224,32248,23871.9
1778,8001,21330.7
1150,23288,17752.6
2528,53720,25604
2486,53449,25364.7
2317,52712,24401.8
2369,39681,24698
1612,39091,20384.9
1136,28116,17672.8
2721,25850,26703.6
3480,20880,31028.1
1143,17145,17712.7
2428,57058,25034.2
2877,19420,27592.5
776,3298,15621.7
1284,31137,18516.1
1145,5153,17724.1
1793,34515,21416.2
2904,7260,27746.3
1473,0,19592.9
2894,23152,27689.3
1932,30912,22208.2
3225,34669,29575.2
3185,12740,29347.3
2068,36707,22983.1
2354,1177,24612.6
2921,48927,27843.1
2211,11055,23797.8
2865,49421,27524.1
1674,23018,20738.2
2282,54198,24202.3
2636,659,26219.3
774,16641,15610.3
1030,19828,17068.9
734,15047,15382.4
743,16160,15433.7
1514,34065,19826.6
2854,17124,27461.4
1443,15512,19422
1817,9085,21552.9
1266,16458,18413.5
2275,55738,24162.5
1264,18012,18402.1
2212,35392,23803.5
1871,26194,21860.6
2513,55914,25518.5
1443,3968,19422
912,1824,16396.6
2366,2958,24681
1542,22359,19986.1
1201,8707,18043.2
3239,3239,29655
2566,25019,25820.5
2089,49614,23102.7
1530,33660,19917.7
953,5956,16630.2
